filename,platform,gameId,gameVersion,patch,mapId,gameLength_s,size_bytes,sha256,n_chunks,zstd_ok
EUW1-7924216022.rofl,EUW1,7924216022,16.14.794.5912,16.14,11,1221.3,10043681,672001b84a39328c25259d34424204f4d0ef628fc170211fd3c81b44f54e876e,64,True
EUW1-7924240767.rofl,EUW1,7924240767,16.14.794.5912,16.14,11,1341.8,11342439,2f7d38e65439aa516f87cb933737e30ebd7572db38c337df4c3b7e645b47ecf7,70,True
EUW1-7924259358.rofl,EUW1,7924259358,16.14.794.5912,16.14,11,1253.2,9941958,1e13c2583f527cbed5d08fe196fe0a606b63f45f5b86d321875a05394c4a5d93,65,True
EUW1-7924290536.rofl,EUW1,7924290536,16.14.794.5912,16.14,11,2226.0,18180872,c04f10c2b9aa0984697c1d41b01fdc254028fbd0f826d06fc2a27656715e2658,115,True
EUW1-7924290869.rofl,EUW1,7924290869,16.14.794.5912,16.14,11,1586.9,13245508,be4632695b3705c8c48b75f97810178ae2d742258c866135c82b43c874f46185,82,True
EUW1-7924297277.rofl,EUW1,7924297277,16.14.794.5912,16.14,11,1169.2,9137724,0cacfd39f9a82ad5a10095cbbe266f051607ec69d755b2d551a1804f3f603613,412,True
EUW1-7924320071.rofl,EUW1,7924320071,16.14.794.5912,16.14,11,870.1,7115823,371113fba6dff131630e6ce801521ca33ec0bc78fce54ecd7e4bdeb05c819278,307,True
EUW1-7924411183.rofl,EUW1,7924411183,16.14.794.5912,16.14,11,1040.6,8382418,1d0b5d8860547888e793afad1c058c06e8a769b4e129006b15b56508decf7293,55,True
EUW1-7924443516.rofl,EUW1,7924443516,16.14.794.5912,16.14,11,1072.7,7758304,f90e19c8c02022ae641c600a1e42ef5ec18cb9b9d92af4e10e9d9cb4604b52d5,56,True
EUW1-7924469485.rofl,EUW1,7924469485,16.14.794.5912,16.14,11,1353.7,10302424,a92a6d0c85944a9e2262118af5524ca4ef03007cfd89dd89620efa8a233f2e18,71,True
EUW1-7924477260.rofl,EUW1,7924477260,16.14.794.5912,16.14,11,2496.6,20643947,55e46221b41be253e8619a3cb5078ceb6e69cbe0e4115cde6f56f5b3ec904c57,128,True
EUW1-7924554128.rofl,EUW1,7924554128,16.14.794.5912,16.14,11,1012.7,8121080,cb90f92e24b5ce592109084fb648130d739e7116b2365caf096313d48e8ee4b3,53,True
EUW1-7924584298.rofl,EUW1,7924584298,16.14.794.5912,16.14,11,1507.6,11899656,653034cd5d7ecb184a415caedd8935acaf4b045e0149d25bb7891bd58c8fce6a,79,True
EUW1-7924585205.rofl,EUW1,7924585205,16.14.794.5912,16.14,11,1401.7,10114765,cd8bd4a153b4b143507c3844663647404118ffc1a8ffdb97cee527619b777b36,73,True
EUW1-7924636834.rofl,EUW1,7924636834,16.14.794.5912,16.14,11,2095.8,17608522,74b9819bb262649457885ea2f968cffc7f67775829c94e67a5f1998485639a7d,107,True
EUW1-7924678549.rofl,EUW1,7924678549,16.14.794.5912,16.14,11,2079.7,16877598,ffa296ad700b00b1201df773e5dd413f736ecc97ac62c959b14f95288fa9e5e1,107,True
EUW1-7924734751.rofl,EUW1,7924734751,16.14.794.5912,16.14,11,1100.7,7965174,182f612d08d235872eb02871b9288d1fa0639efd18e075636119f402d3aae719,58,True
EUW1-7924768585.rofl,EUW1,7924768585,16.14.794.5912,16.14,11,1589.9,11974183,20c2587480fd6d3be0924da66597b99208fa88f223a3dfda7bd2023d803a09cd,82,True
EUW1-7924797345.rofl,EUW1,7924797345,16.14.794.5912,16.14,11,1714.8,14829915,504283bd82a6331378846ac8b1f237bcc7f6b6f28b3f91ce35f34fad225cdaec,89,True
EUW1-7924849628.rofl,EUW1,7924849628,16.14.794.5912,16.14,11,1154.3,9066182,8b139968c86e1324cb19fd2e1c88b2cc05c6971f5215069ccb2a47db53114817,61,True
EUW1-7924873777.rofl,EUW1,7924873777,16.14.794.5912,16.14,11,2655.0,21615169,40fcb81bf61bdf613f4eff44b2a36f5881e4f025e676d6d33e16c2e0b4ceb194,136,True
EUW1-7924876908.rofl,EUW1,7924876908,16.14.794.5912,16.14,11,1160.8,9460262,43d8dbc02c7c6012c31cb19d89c7b5650a4b7872829d4f12d1faa593d3597584,61,True
EUW1-7924879326.rofl,EUW1,7924879326,16.14.794.5912,16.14,11,2182.9,17230229,8fc340a91fcad4266b1a98cb8730051f728ab42db8e591356a12b3fb3bb6da2e,112,True
EUW1-7924906497.rofl,EUW1,7924906497,16.14.794.5912,16.14,11,1056.0,8798286,568a71f445d7dc397af99f2c1af6370f557e2684036523946978992a4c9e9c81,56,True
EUW1-7924913172.rofl,EUW1,7924913172,16.14.794.5912,16.14,11,2107.5,18262410,6c0da02be942de00600fd40053e2f217e7d28fac452b1eab1d1b97269f85694a,109,True
EUW1-7924923935.rofl,EUW1,7924923935,16.14.794.5912,16.14,11,1595.5,12574575,4064c9ee7e2f740b26dbd612306329324f80897122849800491523b9456dd315,83,True
EUW1-7924941095.rofl,EUW1,7924941095,16.14.794.5912,16.14,11,869.9,6231397,481593da86caf9e90785ac01edebcc379e3c57b840e1a220ee6a424b2c79e0ef,46,True
EUW1-7924952780.rofl,EUW1,7924952780,16.14.794.5912,16.14,11,2084.0,15451880,1568239da09fc75a46885f642a987272fba97c044dbeca84a8f4352cccff08fa,107,True
EUW1-7924969057.rofl,EUW1,7924969057,16.14.794.5912,16.14,11,1928.1,16213100,2151b886fce686b163210724b0e0d786a8a1aa80c575524c4c8fdd587cca7ff9,100,True
EUW1-7924979307.rofl,EUW1,7924979307,16.14.794.5912,16.14,11,2055.0,16311498,581bfcede2e1782c4c212c1befda356accf1d15be604de1c58ea692ae4dc9c3b,106,True
EUW1-7925080845.rofl,EUW1,7925080845,16.14.794.5912,16.14,11,1385.5,11526336,519bbbbe4b3667636053b392e46fa8e47a7ef0de6be0f6972284f52a3b6b880e,73,True
EUW1-7925092859.rofl,EUW1,7925092859,16.14.794.5912,16.14,11,796.5,6559587,a645603994ebc4a5bb727165c3f4f3eb56465a8318cbd86e4a0a4a8201cbcf08,43,True
